Vowel,t_ms,strF0,sF0,pF0,shrF0
C,57,81.759,0,79.395,80.273
C,58,82.207,0,79.34,83.36
C,59,82.637,0,79.349,83.36
C,60,83.054,0,79.344,83.36
C,61,83.469,0,79.309,83.36
C,62,83.945,0,79.308,83.36
C,63,84.469,0,79.3,83.36
C,64,85.072,0,79.303,83.36
C,65,85.738,0,79.299,83.36
C,66,86.534,0,79.521,83.36
C,67,87.687,0,0,83.36
C,68,88.82,0,0,83.36
C,69,89.921,0,0,83.36
C,70,90.98,0,0,94.533
C,71,91.938,0,0,94.533
C,72,92.861,0,0,94.533
C,73,93.768,0,0,94.533
C,74,94.789,0,0,94.533
C,75,95.825,0,0,94.533
C,76,96.61,0,0,94.533
C,77,97.465,0,0,94.533
C,78,98.327,0,0,95.73
C,79,99.174,0,0,94.533
C,80,99.999,0,0,101.944
C,81,100.974,0,0,101.944
C,82,102.01,0,0,101.944
C,83,102.921,0,0,101.944
C,84,103.834,0,0,101.944
C,85,104.828,0,0,101.944
C,86,105.883,0,0,101.944
C,87,107.117,0,0,101.944
C,88,108.426,0,0,101.944
C,89,109.746,0,0,101.944
C,90,110.891,0,0,112.737
C,91,111.843,0,0,112.737
C,92,112.686,0,0,112.737
C,93,113.337,0,0,112.737
C,94,113.743,0,0,112.737
C,95,113.999,0,0,112.737
C,96,114.059,0,0,112.737
C,97,114.038,0,0,112.737
C,98,113.971,0,0,219.583
C,99,113.908,0,0,198.562
C,100,113.901,0,0,196.08
C,101,113.935,0,0,196.08
C,102,114.028,0,0,196.08
C,103,114.176,0,0,196.08
C,104,114.331,0,0,198.562
C,105,114.489,0,0,214.128
C,106,114.637,0,0,111.328
C,107,114.786,0,0,111.328
C,108,114.885,0,0,111.328
C,109,114.952,0,0,111.328
C,110,114.995,0,0,111.328
C,111,115.01,0,0,111.328
C,112,115.012,0,0,111.328
C,113,115.005,0,0,93.352
C,114,114.996,0,0,93.352
C,115,114.996,0,0,93.352
C,116,114.996,0,0,93.352
C,117,114.996,0,0,93.352
C,118,114.996,0,0,93.352
C,119,114.996,0,0,93.352
C,120,114.996,0,0,93.352
C,121,114.996,0,0,93.352
C,122,114.996,0,0,93.352
C,123,114.996,0,0,93.352
C,124,114.996,0,0,93.352
C,125,114.996,0,0,72.588
C,126,114.996,0,0,72.588
C,127,114.996,0,0,72.588
C,128,114.996,0,0,72.588
C,129,114.996,0,0,72.588
C,130,114.996,0,0,72.588
C,131,114.996,0,0,0
C,132,114.996,0,0,0
C,133,114.996,0,0,0
C,134,114.996,0,0,0
C,135,114.996,0,0,0
C,136,114.996,0,0,0
C,137,114.996,0,0,0
C,138,114.996,0,0,0
C,139,114.996,0,0,0
C,140,114.996,0,0,0
M,1,172.672,0,0,0
M,2,173.376,0,0,0
M,3,174.169,0,0,0
M,4,174.975,0,0,0
M,5,175.744,0,0,0
M,6,176.419,0,0,0
M,7,176.864,0,0,0
M,8,177.053,0,0,0
M,9,176.944,0,0,0
M,10,176.731,0,0,0
M,11,176.426,0,0,0
M,12,175.995,0,0,0
M,13,175.513,176.717,0,0
M,14,175.052,176.672,0,177.309
M,15,174.68,176.308,0,177.309
M,16,174.442,175.989,0,175.092
M,17,174.395,175.771,0,175.092
M,18,174.464,175.079,0,175.092
M,19,174.614,174.962,0,175.092
M,20,174.837,174.865,0,175.092
M,21,175.081,175.253,0,175.092
M,22,175.319,175.346,0,175.092
M,23,175.427,175.448,0,175.092
M,24,175.424,175.52,0,175.092
M,25,175.324,175.493,176.71,175.092
M,26,175.098,175.391,176.71,175.092
M,27,174.805,175.186,176.665,175.092
M,28,174.533,175.178,176.527,175.092
M,29,174.416,175.452,175.981,175.092
M,30,174.442,175.533,175.761,175.092
M,31,174.582,175.552,175.085,175.092
M,32,174.881,175.85,174.951,175.092
M,33,175.269,176.076,174.848,175.092
M,34,175.676,176.184,175.219,175.092
M,35,175.985,176.002,175.275,175.092
M,36,176.197,175.913,175.417,175.092
M,37,176.293,175.848,175.52,175.092
M,38,176.18,175.704,175.469,175.092
M,39,175.991,175.681,175.392,175.092
M,40,175.827,175.971,175.183,177.309
M,41,175.807,176.25,175.158,175.092
M,42,175.877,176.393,175.449,175.092
M,43,176.031,176.432,175.519,175.092
M,44,176.283,176.37,175.536,175.092
M,45,176.556,176.348,175.614,177.309
M,46,176.775,176.131,176.075,177.309
M,47,176.889,176.047,176.174,177.309
M,48,176.925,176.004,176.003,177.309
M,49,176.856,175.924,175.911,177.309
M,50,176.642,175.817,175.846,177.309
M,51,176.386,175.835,175.696,177.309
M,52,176.127,176.094,175.679,177.309
M,53,175.917,176.145,175.826,177.309
M,54,175.772,176.183,176.253,177.309
M,55,175.703,176.154,176.395,175.092
M,56,175.719,176.142,176.435,175.092
M,57,175.734,175.953,176.388,175.092
M,58,175.72,175.754,176.35,175.092
M,59,175.67,175.635,176.13,175.092
M,60,175.603,175.578,176.052,175.092
M,61,175.516,175.424,176.003,175.092
M,62,175.447,175.391,175.919,175.092
M,63,175.396,175.412,175.81,175.092
M,64,175.367,175.42,175.825,175.092
M,65,175.371,175.416,176.091,175.092
M,66,175.399,175.405,176.145,175.092
M,67,175.444,175.385,176.183,175.092
M,68,175.479,175.376,176.166,175.092
M,69,175.467,175.273,176.139,175.092
M,70,175.415,175.245,176.063,175.092
M,71,175.314,175.23,175.741,175.092
M,72,175.173,174.964,175.626,175.092
M,73,175.019,174.843,175.58,175.092
M,74,174.872,174.751,175.429,175.092
M,75,174.739,174.657,175.382,175.092
M,76,174.631,174.629,175.404,175.092
M,77,174.579,174.612,175.408,175.092
M,78,174.556,174.514,175.406,175.092
M,79,174.551,174.484,175.404,175.092
M,80,174.495,174.287,175.375,175.092
M,81,174.394,174.18,175.362,175.092
M,82,174.257,174.125,175.262,175.092
M,83,174.09,174.064,175.24,175.092
M,84,173.904,173.664,175.221,175.092
M,85,173.722,173.563,175.173,175.092
M,86,173.544,173.342,174.843,175.092
M,87,173.391,173.289,174.77,172.904
M,88,173.278,173.258,174.665,172.904
M,89,173.243,173.236,174.637,172.904
M,90,173.243,173.267,174.625,172.904
M,91,173.233,173.236,174.525,172.904
M,92,173.12,172.863,174.508,172.904
M,93,172.947,172.761,174.303,172.904
M,94,172.737,172.735,174.201,172.904
M,95,172.493,172.68,174.134,172.904
M,96,172.259,172.505,174.089,172.904
M,97,172.061,172.383,173.7,172.904
M,98,171.937,172.322,173.564,172.904
M,99,171.871,172.262,173.37,172.904
M,100,171.88,0,173.287,172.904
M,101,171.993,0,173.255,172.904
M,102,172.15,0,173.238,172.904
M,103,172.288,0,173.263,172.904
M,104,172.355,0,173.225,172.904
M,105,172.37,0,172.876,172.904
M,106,172.333,0,172.777,172.904
M,107,172.198,0,172.753,172.904
M,108,171.975,0,172.707,172.904
M,109,171.604,0,172.535,172.904
M,110,171.039,0,172.417,170.742
M,111,170.416,0,172.338,170.742
M,112,169.808,0,172.292,170.742
M,113,169.295,0,172.279,170.742
M,114,168.9,0,172.151,168.608
M,115,168.653,0,171.735,168.608
M,116,168.645,0,171.12,168.608
M,117,168.777,0,0,168.608
M,118,169.071,0,0,168.608
M,119,169.55,0,0,168.608
M,120,170.044,0,0,168.608
M,121,170.405,0,0,168.608
M,122,170.5,0,0,168.608
M,123,170.416,0,0,168.608
M,124,170.153,0,0,168.608
M,125,169.718,0,0,168.608
M,126,169.323,0,0,168.608
M,127,169.083,0,0,168.608
M,128,169.106,0,0,168.608
M,129,169.259,0,0,168.608
M,130,169.566,0,0,168.608
M,131,170.122,0,0,0
M,132,170.689,0,0,0
M,133,171.192,0,0,0
M,134,171.508,0,0,0
M,135,171.693,0,0,0
M,136,171.683,0,0,0
M,137,171.428,0,0,0
M,138,171.116,0,0,0
M,139,170.815,0,0,0
M,140,170.516,0,0,0
M,1,178.489,0,0,0
M,2,177.382,0,0,0
M,3,164.979,0,0,0
M,4,149.185,0,0,0
M,5,133.39,0,0,0
M,6,117.596,0,0,0
M,7,101.751,0,0,0
M,8,86.205,0,0,0
M,9,71.398,0,0,0
M,10,104.838,0,0,0
M,11,148.658,0,0,0
M,12,168.662,0,0,0
M,13,189.288,0,0,0
M,14,209.99,0,0,0
M,15,250.263,0,0,0
M,16,250.306,0,0,0
M,17,250.396,0,0,0
M,18,250.518,0,0,0
M,19,224.795,0,0,0
M,20,188.417,0,0,251.837
M,21,187.486,0,0,278.865
M,22,188.803,0,0,278.865
M,23,187.155,0,0,211.451
M,24,158.137,0,0,216.838
M,25,175.667,0,0,275.379
M,26,192.893,0,0,214.128
M,27,231.56,0,0,211.451
M,28,230.676,0,0,230.914
M,29,209.048,0,0,230.914
M,30,187.101,0,0,230.914
M,31,165.68,0,0,230.914
M,32,147.115,0,0,230.914
M,33,155.96,0,0,230.914
M,34,159.13,0,0,230.914
M,35,162.744,0,0,233.837
M,36,144.204,0,0,233.837
M,37,143.094,0,0,233.837
M,38,142.593,0,0,233.837
M,39,149.616,0,0,233.837
M,40,156.703,0,0,233.837
M,41,156.212,0,0,233.837
M,42,136.114,0,0,233.837
M,43,115.37,0,0,233.837
M,44,94.439,0,0,236.797
M,45,74.19,0,0,233.837
M,46,55.148,0,0,239.794
M,47,73.254,0,0,120.055
M,48,83.893,0,0,120.055
M,49,97.725,0,0,222.363
M,50,117.954,0,0,225.177
M,51,138.09,0,0,245.904
M,52,160.362,0,0,245.904
M,53,182.452,0,0,249.016
M,54,204.245,0,0,249.016
M,55,225.623,0,0,252.168
M,56,227.785,0,0,249.016
M,57,212.309,0,0,236.797
M,58,193.754,0,0,233.837
M,59,176.664,0,0,233.837
M,60,159.767,0,0,233.837
M,61,140.749,0,0,233.837
M,62,121.814,0,0,233.837
M,63,103.072,0,0,236.797
M,64,84.649,0,0,236.797
M,65,67.239,0,0,236.797
M,66,67.41,0,0,239.794
M,67,66.097,0,0,107.205
M,68,65.213,0,0,107.205
M,69,64.149,0,0,107.205
M,70,81.045,0,0,107.205
M,71,97.789,0,0,105.865
M,72,114.772,0,0,105.865
M,73,113.953,0,0,105.865
M,74,113.244,0,0,242.83
M,75,112.531,0,0,186.458
M,76,113.135,0,0,186.458
M,77,113.069,0,0,228.028
M,78,125.927,0,0,228.028
M,79,121.015,0,0,228.028
M,80,117.265,0,0,228.028
M,81,115.17,0,0,228.028
M,82,132.348,0,0,228.028
M,83,149.242,0,0,228.028
M,84,165.551,0,0,228.028
M,85,181.373,0,0,222.363
M,86,197.248,0,0,219.583
M,87,201.243,0,0,211.451
M,88,205.522,0,0,211.451
M,89,208.116,0,0,211.451
M,90,208.515,0,0,211.451
M,91,190.381,0,0,230.914
M,92,172.459,0,0,230.914
M,93,155.083,0,0,230.914
M,94,138.168,0,0,230.914
M,95,141.032,0,0,230.914
M,96,144.174,0,0,233.837
M,97,146.628,0,0,233.837
M,98,148.842,0,0,233.837
M,99,146.987,0,0,198.562
M,100,161.086,0,0,198.562
M,101,175.026,0,0,198.562
M,102,180.793,0,0,198.562
M,103,195.04,0,0,198.562
M,104,193.331,0,0,201.075
M,105,190.705,0,0,201.075
M,106,188.299,0,0,201.075
M,107,186.904,0,0,201.075
M,108,189.184,0,0,211.451
M,109,190.163,0,0,214.128
M,110,190.199,0,0,219.583
M,111,198.493,0,0,219.583
M,112,198.566,0,0,219.583
M,113,195.15,0,0,219.583
M,114,191.77,0,0,184.127
M,115,190.112,0,0,184.127
M,116,190.862,0,0,177.309
M,117,193.299,0,0,177.309
M,118,198.335,0,0,177.309
M,119,202.565,0,0,203.62
M,120,203.277,0,0,203.62
M,121,207.694,0,0,203.62
M,122,191.89,0,0,216.838
M,123,192.947,0,0,216.838
M,124,193.514,0,0,228.028
M,125,192.855,0,0,228.028
M,126,191.746,0,0,219.583
M,127,190.246,0,0,219.583
M,128,190.482,0,0,219.583
M,129,194.262,0,0,219.583
M,130,194.129,0,0,214.128
M,131,213.202,0,0,0
M,132,213.599,0,0,0
M,133,195.124,0,0,0
M,134,175.471,0,0,0
M,135,155.38,0,0,0
M,136,135.586,0,0,0
M,137,116.024,0,0,0
M,138,96.376,0,0,0
M,139,76.689,0,0,0
M,140,57.617,0,0,0
