feature,feature-latex,category,nonorm,byspeaker,eng,eng-udef,guj,guj-udef,hmn,hmn-udef,cmn,cmn-udef,maj,maj-udef,zap,zap-udef
H42Kc_means003,H4* -- 2k*\_3,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H2KH5Kc_mean,2k* -- 5k\_Mean,0,0,0,1,0,1,0.000336361,1,0.000368053,1,0,1,0,1,0.031976744
H2KH5Kc_means001,2k* -- 5k\_1,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H2KH5Kc_means002,2k* -- 5k\_2,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
H2KH5Kc_means003,2k* -- 5k\_3,0,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
CPP_mean,CPP\_Mean,1,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
CPP_means001,CPP\_1,1,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
CPP_means002,CPP\_2,1,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
CPP_means003,CPP\_3,1,0,0,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
Energy_mean,RMS\_Energy\_Mean,2,0,1,1,0.004585784,1,0,1,0,1,0,1,0,1,0.031976744
Energy_means001,RMS\_Energy\_1,2,0,1,1,0.00827435,1,0,1,0,1,0,1,0,1,0.031976744
Energy_means002,RMS\_Energy\_2,2,0,1,1,0.005084239,1,0,1,0,1,0,1,0,1,0.031976744
Energy_means003,RMS\_Energy\_3,2,0,1,1,0.008972186,1,0,1,0,1,0,1,0,1,0.031976744
HNR05_mean,HNR05\_Mean,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR05_means001,HNR05\_1,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR05_means002,HNR05\_2,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR05_means003,HNR05\_3,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR15_mean,HNR15\_Mean,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR15_means001,HNR15\_1,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR15_means002,HNR15\_2,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR15_means003,HNR15\_3,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR25_mean,HNR25\_Mean,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR25_means001,HNR25\_1,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR25_means002,HNR25\_2,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR25_means003,HNR25\_3,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR35_mean,HNR35\_Mean,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR35_means001,HNR35\_1,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR35_means002,HNR35\_2,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
HNR35_means003,HNR35\_3,3,0,1,1,0,1,0,1,0.000368053,1,0,1,0,1,0.031976744
SHR_mean,SHR\_Mean,4,0,0,1,0.450403748,1,0.46518668,1,0.056680162,1,0.016666667,1,0.2593361,1,0.055232558
SHR_means001,SHR\_1,4,0,0,1,0.599042967,1,0.553649512,1,0.118145013,1,0.261111111,1,0.392116183,1,0.203488372
SHR_means002,SHR\_2,4,0,0,1,0.600937095,1,0.668012109,1,0.266470372,1,0.283333333,1,0.408713693,1,0.220930233
SHR_means003,SHR\_3,4,0,0,1,0.612301864,1,0.646485032,1,0.193963931,1,0.066666667,1,0.541493776,1,0.206395349
strF0_mean,STRAIGHT\_\textit{f}$_0$\_Mean,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0
strF0_means001,STRAIGHT\_\textit{f}$_0$\_1,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0
strF0_means002,STRAIGHT\_\textit{f}$_0$\_2,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0
strF0_means003,STRAIGHT\_\textit{f}$_0$\_3,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0
sF0_mean,Snack\_\textit{f}$_0$\_Mean,5,0,1,1,0.048649188,1,0.001345442,0,0.084284137,0,0.005555556,1,0.004149378,0,0.072674419
sF0_means001,Snack\_\textit{f}$_0$\_1,5,0,1,1,0.106669325,1,0.013790784,0,0.105631211,0,0.011111111,1,0.014522822,0,0.078488372
sF0_means002,Snack\_\textit{f}$_0$\_2,5,0,1,1,0.095304556,1,0.00571813,0,0.142436511,0,0.055555556,1,0.043568465,0,0.127906977
sF0_means003,Snack\_\textit{f}$_0$\_3,5,0,1,1,0.094008573,1,0.003363606,0,0.153478101,0,0.033333333,1,0.018672199,0,0.252906977
pF0_mean,Praat\_\textit{f}$_0$\_Mean,5,0,1,1,0.233575915,1,0.001009082,0,0.105263158,0,0,1,0,0,0.075581395
pF0_means001,Praat\_\textit{f}$_0$\_1,5,0,1,1,0.233575915,1,0.001009082,0,0.105263158,0,0,1,0,0,0.075581395
pF0_means002,Praat\_\textit{f}$_0$\_2,5,0,1,1,0.233575915,1,0.001009082,0,0.105263158,0,0,1,0,0,0.075581395
pF0_means003,Praat\_\textit{f}$_0$\_3,5,0,1,1,0.233575915,1,0.001009082,0,0.105263158,0,0,1,0,0,0.075581395
shrF0_mean,SHR\_\textit{f}$_0$\_Mean,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0.023255814
shrF0_means001,SHR\_\textit{f}$_0$\_1,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0.023255814
shrF0_means002,SHR\_\textit{f}$_0$\_2,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0.023255814
shrF0_means003,SHR\_\textit{f}$_0$\_3,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0.023255814
sF1_mean,F1\_Mean,6,0,1,1,0,1,0,1,0,1,0,1,0,1,0.031976744
sF1_means001,F1\_1,6,0,1,1,0,1,0,1,0,1,0,1,0,1,0.031976744
sF1_means002,F1\_2,6,0,1,1,0,1,0,1,0,1,0,1,0,1,0.031976744
sF1_means003,F1\_3,6,0,1,1,0,1,0,1,0,1,0,1,0,1,0.031976744
vowel_dur,Vowel\_Duration,7,0,1,1,0,1,0,1,0,1,0,1,0,1,0
jitter_loc_mean,Local\_Jitter\_Mean,8,0,0,1,0.251320905,1,0.000672721,1,0.144276776,1,0,1,0.004149378,1,0.055232558
jitter_loc_1,Local\_Jitter\_1,8,0,0,1,0.502841192,1,0.035317861,1,0.158998896,1,0,1,0.006224066,1,0.072674419
jitter_loc_2,Local\_Jitter\_2,8,0,0,1,0.483700528,1,0.015472587,1,0.175561281,1,0.033333333,1,0.022821577,1,0.122093023
jitter_loc_3,Local\_Jitter\_3,8,0,0,1,0.547203669,1,0.01715439,1,0.187338977,1,0.022222222,1,0.018672199,1,0.186046512
jitter_loc_abs_mean,Local\_Abs.\_Jitter\_Mean,8,0,0,1,0.251320905,1,0.000672721,1,0.144276776,1,0,1,0.004149378,1,0.055232558
jitter_loc_abs_1,Local\_Abs.\_Jitter\_1,8,0,0,1,0.502841192,1,0.035317861,1,0.158998896,1,0,1,0.006224066,1,0.072674419
jitter_loc_abs_2,Local\_Abs.\_Jitter\_2,8,0,0,1,0.483700528,1,0.015472587,1,0.175561281,1,0.033333333,1,0.022821577,1,0.122093023
jitter_loc_abs_3,Local\_Abs.\_Jitter\_3,8,0,0,1,0.547203669,1,0.01715439,1,0.187338977,1,0.022222222,1,0.018672199,1,0.186046512
jitter_rap_mean,RAP\_Jitter\_Mean,8,0,0,1,0.291994816,1,0.001681803,1,0.156422525,1,0,1,0.006224066,1,0.055232558
jitter_rap_1,RAP\_Jitter\_1,8,0,0,1,0.627056126,1,0.070299361,1,0.175929334,1,0,1,0.014522822,1,0.095930233
jitter_rap_2,RAP\_Jitter\_2,8,0,0,1,0.610706809,1,0.04641776,1,0.181818182,1,0.038888889,1,0.03526971,1,0.174418605
jitter_rap_3,RAP\_Jitter\_3,8,0,0,1,0.671817366,1,0.042045072,1,0.197644461,1,0.038888889,1,0.024896266,1,0.255813953
jitter_ppq5_mean,PPQ5\_Jitter\_Mean,8,0,0,1,0.396570631,1,0.005381769,1,0.170408539,1,0.005555556,1,0.006224066,1,0.069767442
jitter_ppq5_1,PPQ5\_Jitter\_1,8,0,0,1,0.796131991,1,0.193407333,1,0.225984542,1,0.011111111,1,0.043568465,1,0.281976744
jitter_ppq5_2,PPQ5\_Jitter\_2,8,0,0,1,0.785764131,1,0.154725866,1,0.223776224,1,0.055555556,1,0.109958506,1,0.354651163
jitter_ppq5_3,PPQ5\_Jitter\_3,8,0,0,1,0.834812083,1,0.151698621,1,0.246963563,1,0.094444444,1,0.080912863,1,0.459302326
shimmer_loc_mean,Local\_Shimmer\_Mean,9,0,0,1,0.294786163,1,0.001681803,1,0.157526684,1,0,1,0.006224066,1,0.058139535
shimmer_loc_1,Local\_Shimmer\_1,9,0,0,1,0.631442528,1,0.071644803,1,0.177033493,1,0,1,0.01659751,1,0.098837209
shimmer_loc_2,Local\_Shimmer\_2,9,0,0,1,0.61290001,1,0.04675412,1,0.182554288,1,0.038888889,1,0.037344398,1,0.188953488
shimmer_loc_3,Local\_Shimmer\_3,9,0,0,1,0.675605623,1,0.042045072,1,0.199852779,1,0.044444444,1,0.031120332,1,0.281976744
shimmer_local_dB_mean,Local\_Shimmer\_dB\_Mean,9,0,0,1,0.294786163,1,0.001681803,1,0.157526684,1,0,1,0.006224066,1,0.058139535
shimmer_loc_db_1,Local\_Shimmer\_dB\_1,9,0,0,1,0.631442528,1,0.071644803,1,0.177033493,1,0,1,0.01659751,1,0.098837209
shimmer_loc_db_2,Local\_Shimmer\_dB\_2,9,0,0,1,0.61290001,1,0.04675412,1,0.182554288,1,0.038888889,1,0.037344398,1,0.188953488
shimmer_loc_db_3,Local\_Shimmer\_dB\_3,9,0,0,1,0.675605623,1,0.042045072,1,0.199852779,1,0.044444444,1,0.031120332,1,0.281976744
shimmer_apq3_mean,APQ3\_Shimmer\_Mean,9,0,0,1,0.347821753,1,0.004372688,1,0.165255797,1,0.005555556,1,0.006224066,1,0.072674419
shimmer_apq3_1,APQ3\_Shimmer\_1,9,0,0,1,0.72734523,1,0.129835183,1,0.196172249,1,0.005555556,1,0.037344398,1,0.191860465
shimmer_apq3_2,APQ3\_Shimmer\_2,9,0,0,1,0.714186023,1,0.089808274,1,0.196540302,1,0.05,1,0.066390041,1,0.293604651
shimmer_apq3_3,APQ3\_Shimmer\_3,9,0,0,1,0.772804307,1,0.08711739,1,0.219359588,1,0.077777778,1,0.099585062,1,0.39244186
shimmer_apq5_mean,APQ5\_Shimmer\_Mean,9,0,0,1,0.457980261,1,0.011099899,1,0.175929334,1,0.016666667,1,0.012448133,1,0.087209302
shimmer_apq5_1,APQ5\_Shimmer\_1,9,0,0,1,0.84906789,1,0.293979146,1,0.276775856,1,0.027777778,1,0.114107884,1,0.386627907
shimmer_apq5_2,APQ5\_Shimmer\_2,9,0,0,1,0.843684578,1,0.248570468,1,0.270150902,1,0.088888889,1,0.199170124,1,0.5
shimmer_apq5_3,APQ5\_Shimmer\_3,9,0,0,1,0.882663742,1,0.242179617,1,0.312108944,1,0.222222222,1,0.367219917,1,0.64244186
shimmer_apq11_mean,APQ11\_Shimmer\_Mean,9,0,0,1,0.71797428,1,0.076353851,1,0.196908355,1,0.066666667,1,0.114107884,1,0.302325581
shimmer_apq11_1,APQ11\_Shimmer\_1,9,0,0,1,0.967101984,1,0.82004709,1,0.655870445,1,0.222222222,1,0.753112033,1,0.811046512
shimmer_apq11_2,APQ11\_Shimmer\_2,9,0,0,1,0.967500748,1,0.794483687,1,0.63562753,1,0.211111111,1,0.815352697,1,0.86627907
shimmer_apq11_3,APQ11\_Shimmer\_3,9,0,0,1,0.978666135,1,0.771947528,1,0.698564593,1,0.583333333,1,0.910788382,1,0.944767442
preceding_phone,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0
following_phone,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0
word_per,Dist\_Word\_(percent),10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
utt_per,Dist\_Utt\_(\%),10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ms_from_word_end,Dist\_Word\_(ms),10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ms_from_utt_end,Dist\_Utt\_(ms),10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
word_label,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0
VoPT,VoPT,11,0,0,1,0,1,0,1,0,1,0,1,0,1,0
pre_is_voiced,Voicing\_Pre,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
fol_is_voiced,Voicing\_Fol,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pre_is_obs,Manner\_Pre,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
fol_is_obs,Manner\_Fol,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pre_exists,Presence\_Pre,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
fol_exists,Presence\_Fol,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
