feature,nonorm,byspeaker,feature-latex,eng,eng-udef,guj,guj-udef,hmn,hmn-udef,cmn,cmn-udef,maj,maj-udef,zap,zap-udef,cat
HNR05_means002,0,1,HNR05\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR05_means003,0,1,HNR05\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR15_mean,0,1,HNR15\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR15_means001,0,1,HNR15\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR15_means002,0,1,HNR15\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR15_means003,0,1,HNR15\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR25_mean,0,1,HNR25\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR25_means001,0,1,HNR25\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR25_means002,0,1,HNR25\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR25_means003,0,1,HNR25\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR35_mean,0,1,HNR35\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR35_means001,0,1,HNR35\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR35_means002,0,1,HNR35\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,4
HNR35_means003,0,1,HNR35\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,4
SHR_mean,0,0,SHR\_Mean,1,41.984,1,46.836,1,6.389,1,1.25,1,26.23,1,5.341,5
SHR_means001,0,0,SHR\_1,1,57.766,1,55.172,1,13.359,1,26.25,1,41.393,1,19.881,5
SHR_means002,0,0,SHR\_2,1,56.988,1,67.601,1,27.299,1,28.75,1,41.393,1,22.255,5
SHR_means003,0,0,SHR\_3,1,58.877,1,65.555,1,21.007,1,5,1,55.738,1,20.475,5
CPP_mean,0,0,CPP\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,6
CPP_means001,0,0,CPP\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,6
CPP_means002,0,0,CPP\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,6
CPP_means003,0,0,CPP\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,6
pF0_mean,0,1,Praat\_\textit{f}$_0$\_Mean,1,22.506,1,0.114,0,0,0,0,1,0,1,7.418,7
pF0_means001,0,1,Praat\_\textit{f}$_0$\_1,1,22.506,1,0.114,0,0,0,0,1,0,1,7.418,7
pF0_means002,0,1,Praat\_\textit{f}$_0$\_2,1,22.506,1,0.114,0,0,0,0,1,0,1,7.418,7
pF0_means003,0,1,Praat\_\textit{f}$_0$\_3,1,22.506,1,0.114,0,0,0,0,1,0,1,7.418,7
shrF0_mean,0,1,SHR\_\textit{f}$_0$\_Mean,1,0,1,0,0,0,0,0,1,0,1,2.077,7
shrF0_means001,0,1,SHR\_\textit{f}$_0$\_1,1,0,1,0,0,0,0,0,1,0,1,2.077,7
shrF0_means002,0,1,SHR\_\textit{f}$_0$\_2,1,0,1,0,0,0,0,0,1,0,1,2.077,7
shrF0_means003,0,1,SHR\_\textit{f}$_0$\_3,1,0,1,0,0,0,0,0,1,0,1,2.077,7
sF0_mean,0,1,Snack\_\textit{f}$_0$\_Mean,1,5.224,1,0.152,0,0,0,0,1,0.82,1,7.122,7
sF0_means001,0,1,Snack\_\textit{f}$_0$\_1,1,11.503,1,1.288,0,0.581,0,1.25,1,1.639,1,7.715,7
sF0_means002,0,1,Snack\_\textit{f}$_0$\_2,1,9.586,1,0.493,0,0.387,0,5,1,4.098,1,12.76,7
